SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap,Actual_0,Predicted_0,Quantile_0.05_Timestep_0,Quantile_0.25_Timestep_0,Quantile_0.50_Timestep_0,Quantile_0.75_Timestep_0,Quantile_0.95_Timestep_0,Actual_1,Predicted_1,Quantile_0.05_Timestep_1,Quantile_0.25_Timestep_1,Quantile_0.50_Timestep_1,Quantile_0.75_Timestep_1,Quantile_0.95_Timestep_1,Actual_2,Predicted_2,Quantile_0.05_Timestep_2,Quantile_0.25_Timestep_2,Quantile_0.50_Timestep_2,Quantile_0.75_Timestep_2,Quantile_0.95_Timestep_2,Actual_3,Predicted_3,Quantile_0.05_Timestep_3,Quantile_0.25_Timestep_3,Quantile_0.50_Timestep_3,Quantile_0.75_Timestep_3,Quantile_0.95_Timestep_3,Actual_4,Predicted_4,Quantile_0.05_Timestep_4,Quantile_0.25_Timestep_4,Quantile_0.50_Timestep_4,Quantile_0.75_Timestep_4,Quantile_0.95_Timestep_4
1,Ethereum,ETH,2015-08-08 23:59:59,2.7988100051879883,0.7147250175476074,2.793760061264038,0.7533249855041504,674188.0,45486894.2408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ethereum,ETH,2015-08-09 23:59:59,0.8798099756240845,0.629190981388092,0.7061359882354736,0.7018970251083374,532170.0,42399573.4991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Ethereum,ETH,2015-08-10 23:59:59,0.7298539876937866,0.6365460157394409,0.7139890193939209,0.7084479928016663,405283.0,42818364.3945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Ethereum,ETH,2015-08-11 23:59:59,1.131410002708435,0.6632350087165833,0.7080870270729065,1.0678600072860718,1463100.0,64569288.4328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Ethereum,ETH,2015-08-12 23:59:59,1.2899399995803833,0.8836079835891724,1.058750033378601,1.2174400091171265,2150620.0,73645010.9863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Ethereum,ETH,2015-08-13 23:59:59,1.9650700092315672,1.1719900369644165,1.222239971160889,1.827669978141785,4068680.0,110607191.674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Ethereum,ETH,2015-08-14 23:59:59,2.2618799209594727,1.7547500133514404,1.810920000076294,1.8278700113296509,4637030.0,110672321.811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Ethereum,ETH,2015-08-15 23:59:59,1.8772399425506592,1.5709799528121948,1.802889943122864,1.6888999938964844,2554360.0,102303608.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ethereum,ETH,2015-08-16 23:59:59,1.6952400207519531,1.0898100137710571,1.6843500137329102,1.5660300254821775,3550790.0,94901005.3503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Ethereum,ETH,2015-08-17 23:59:59,1.58118999004364,1.1853400468826294,1.58118999004364,1.2036099433898926,1942830.0,87295366.5007,1.20361,-3.880496,-2.7204766,-1.3302389,3.021794,1.5961605,12.927059,1.08705,-3.881614,-2.2598383,-0.68337345,3.9000268,1.1110891,12.389961,1.2588601,-0.9846167,-2.9435518,-0.32958347,4.374904,1.7278535,15.047688,1.46492,3.591765,-2.8204613,0.28256142,5.015155,2.7040834,17.21476,1.39529,7.708083,-2.2704906,0.63986075,5.276584,3.3718805,17.438612
